result,object,exe_time,cycle
8,1,73,-73
8,1,72,-79
8,1,71,-80
8,1,71,-111
8,1,75,-76
8,1,75,-82
8,1,76,-79
8,1,77,-77
8,1,97,-100
8,1,98,-118
8,1,99,-100
8,1,99,-123
8,1,100,-133
8,1,102,-128
8,1,98,-110
8,1,95,-129
8,1,99,-102
8,1,101,-117
8,1,99,-126
8,1,99,-100
8,1,101,-110
8,1,100,-126
8,1,98,-114
8,1,99,-105
8,1,98,-119
8,1,98,-99
8,1,96,-128
8,1,97,-113
8,2,96,-109
8,2,95,-106
8,2,96,-101
8,1,98,-110
8,2,96,-127
8,2,96,-99
8,2,100,-116
8,1,100,-123
8,1,100,-100
8,1,101,-137
8,2,100,-142
8,2,99,-100
8,1,97,-134
8,1,97,-99
8,1,85,-86
8,1,81,-84
8,1,79,-99
8,1,75,-85
4,1,75,-89
8,1,78,-78
8,1,76,-103
8,1,75,-98
8,2,77,-99
8,2,80,-93
8,2,74,-90
8,2,73,-94
8,2,76,-96
8,2,77,-93
8,2,75,-90
8,2,76,-88
8,2,77,-102
8,3,79,-95
8,3,82,-91
8,3,80,-102
8,3,79,-84
8,3,79,-96
8,2,78,-97
8,2,85,-125
8,3,81,-123
8,3,81,-89
8,2,83,-107
8,2,80,-84
8,2,79,-80
8,2,81,-112
8,2,82,-101
8,2,81,-85
8,2,80,-88
8,2,81,-82
8,3,81,-91
8,2,79,-90
4,2,79,-109
4,2,81,-111
8,1,82,-86
8,1,80,-90
8,1,83,-83
8,1,84,-118
8,1,79,-80
8,1,82,-83
8,1,77,-108
8,1,81,-89
8,1,80,-80
8,1,81,-96
8,1,82,-122
8,1,77,-82
8,1,81,-87
8,1,77,-102
8,1,80,-111
8,1,79,-84
8,1,83,-109
8,1,76,-105
8,1,76,-97
8,1,77,-94
4,1,80,-99
4,2,81,-90
8,2,83,-146
8,2,79,-92
8,2,77,-88
